oldvar,RPP.LANDCLIMII
ALCHEMILLA,zz.do not use
ALCHEMILLA,zz.do not use
Alchemilla,zz.do not use
Alchemilla ,zz.do not use
Alchemilla pentaphylla,zz.do not use
Alchemilla pentaphyllea-Typ,zz.do not use
Alchemilla pentaphyllea-type,zz.do not use
Alchemilla rå,zz.do not use
Alchemilla type,zz.do not use
Alchemilla/Aphanes,zz.do not use
Alchemilla/Aphanes,zz.do not use
Alchemilla-typ - daggkåpor,zz.do not use
Alchemilla-type,zz.do not use
Alchemilla-type ,zz.do not use
AlchT,zz.do not use
Algae,zz.do not use
algae,zz.do not use
Algae,zz.do not use
algae sum,zz.do not use
Algae sum,zz.do not use
Algea,zz.do not use
Alhagi,zz.do not use
Alisma,zz.do not use
alisma,zz.do not use
ALISMA,zz.do not use
Alisma,zz.do not use
Alisma ,zz.do not use
Alisma gramineum-type,zz.do not use
Alisma pl.-aquat.,zz.do not use
Alisma plantago aq.,zz.do not use
ALISMA PLANTAGO AQUATICA ,zz.do not use
Alisma plantago-aquatica,zz.do not use
Alisma plantago-aquatica,zz.do not use
ALISMA PLANTAGO-AQUATICA TYPE,zz.do not use
Alisma plantago-aquatica type,zz.do not use
Alisma plantago-aquatica-type,zz.do not use
Alisma plantago-aquatica-type=Alisma,zz.do not use
Alisma rå,zz.do not use
ALISMA SPP,zz.do not use
Alisma type,zz.do not use
Alisma_p_1,zz.do not use
Alisma_pla,zz.do not use
ALISMA_TYP,zz.do not use
ALISMACEAE,zz.do not use
Alismatace,zz.do not use
Alismataceae,zz.do not use
Alismataceae,zz.do not use
Alisma-Typ,zz.do not use
Alisma-type,zz.do not use
Alisma-type,zz.do not use
Alkanna,zz.do not use
All empty cells = zero pollen counts,zz.do not use
Alle terrestriske pollen,zz.do not use
Allium,zz.do not use
ALLIUM,zz.do not use
Allium,zz.do not use
Allium sp,zz.do not use
ALLIUM T,zz.do not use
Allium type,zz.do not use
ALLIUM type,zz.do not use
Allium type ursinum,zz.do not use
ALLIUM URSINUM T,zz.do not use
Allium ursinum type,zz.do not use
Allium ursinum-type,zz.do not use
Allium vineale-type,zz.do not use
Allium vineale-type,zz.do not use
ALLIUM_TYP,zz.do not use
Allium-Typ,zz.do not use
Allium-type,zz.do not use
Allium-type,zz.do not use
Alnaster,Alnus glutinosa
alnaster,Alnus glutinosa
Alnus,Alnus glutinosa
ALNUS,Alnus glutinosa
alnus,Alnus glutinosa
Alnus,Alnus glutinosa
ALNUS,Alnus glutinosa
Alnus ,Alnus glutinosa
ALNUS ,Alnus glutinosa
Alnus  ,Alnus glutinosa
Alnus   ,Alnus glutinosa
ALNUS   ,Alnus glutinosa
Alnus - al,Alnus glutinosa
Alnus < 16-20 m ,Alnus glutinosa
Alnus cf. A. viridis,Alnus glutinosa
Alnus glutenosa,Alnus glutinosa
Alnus glutinosa,Alnus glutinosa
Alnus Glutinosa,Alnus glutinosa
ALNUS GLUTINOSA,Alnus glutinosa
Alnus glutinosa,Alnus glutinosa
Alnus glutinosa ,Alnus glutinosa
Alnus glutinosa  ,Alnus glutinosa
Alnus glutinosa                         ,Alnus glutinosa
Alnus glutinosa type,Alnus glutinosa
Alnus glutinosa/incana,Alnus glutinosa
Alnus glutinosa/incana,Alnus glutinosa
Alnus glutinosa-type,Alnus glutinosa
Alnus glutinosa-type,Alnus glutinosa
Alnus incana,Alnus glutinosa
ALNUS IND,Alnus glutinosa
Alnus non-viridis,Alnus glutinosa
Alnus rå,Alnus glutinosa
Alnus sp.,Alnus glutinosa
Alnus undiff.,Alnus glutinosa
Alnus viridis,Alnus glutinosa
Alnus viridis,Alnus glutinosa
Alnus ,Alnus glutinosa
Alnus_glut,Alnus glutinosa
Alnus_inca,Alnus glutinosa
AlnusGlu,Alnus glutinosa
Alternaria,zz.do not use
Althaea officinalis,zz.do not use
Althaea-t,zz.do not use
Alyssoides-type,zz.do not use
Amaranthaceae,Amanranthaceae/Chenopodiaceae
Amaranthaceae/Chenopodiaceae,Amanranthaceae/Chenopodiaceae
Amaranthus,Amanranthaceae/Chenopodiaceae
Ambrosia,zz.do not use
AMBROSIA,zz.do not use
Ambrosia,zz.do not use
Ambrosia                                ,zz.do not use
Ambrosia artemisiaefolia,zz.do not use
Ambrosia -t.,zz.do not use
Ambrosia type,zz.do not use
Ambrosia/Xanthium,zz.do not use
Ambrosia/Xanthium,zz.do not use
AMBROSIAE,zz.do not use
Ambrosia-type,zz.do not use
Amelanchier,zz.do not use
AMERIA_T,zz.do not use
Ammi,zz.do not use
Ammi type,zz.do not use
Amphitrema,zz.do not use
Amphitrema,zz.do not use
Amphitrema flavum,zz.do not use
Amygdalaceae undiff.,zz.do not use
AMYGDALACEAE UNDIFF.,zz.do not use
Amygdalus,zz.do not use
Anacardiac,zz.do not use
Anacardiaceae,zz.do not use
Anacardiaceae,zz.do not use
Anagalis,zz.do not use
Anagalis arvensis-type,zz.do not use
Anagallis,zz.do not use
Anagallis,zz.do not use
Anagallis arv.,zz.do not use
ANAGALLIS ARVENSIS,zz.do not use
Anagallis arvensis,zz.do not use
Anagallis arvensis,zz.do not use
Anagallis arvensis-type,zz.do not use
Anagallis arvensis-type,zz.do not use
ANAGALLIS T,zz.do not use
Anagallis tenella,zz.do not use
Anagallis tenella type,zz.do not use
Anagallis tenella type,zz.do not use
Anagallis tenella-type,zz.do not use
Anagallis tenella-type,zz.do not use
Anagallis type,zz.do not use
Anagallis ,zz.do not use
Anagallis_,zz.do not use
Anagallis-Typ,zz.do not use
Anagallis-type,zz.do not use
Anagallis-type,zz.do not use
Anarrhinum bellidifolium,zz.do not use
Anchusa,zz.do not use
ANCHUSA,zz.do not use
Anchusa,zz.do not use
Anchusa arvensis-type,zz.do not use
Anchusa arvensis-type,zz.do not use
Anchusa italica type,zz.do not use
Anchusa type,zz.do not use
Anchusa/Pulmonaria,zz.do not use
Anchusa/Pulmonaria,zz.do not use
Anchusa-type,zz.do not use
and.Ericacea,zz.do not use
Andere Baeume,zz.do not use
andere Farne,zz.do not use
Andere Str„ucher,zz.do not use
Andrasacea,zz.do not use
Andrasaceae,zz.do not use
ANDROM_TYP,zz.do not use
Andromeda,Ericaceae
Andromeda polifolia,Ericaceae
Andromeda-type,Ericaceae
Androsace,zz.do not use
Androsace,zz.do not use
Androsace alpina-Typ,zz.do not use
Androsace alpina-type,zz.do not use
Androsace elongata-type,zz.do not use
Androsace type,zz.do not use
Androsaceae,zz.do not use
Androsaceae-type,zz.do not use
Androsacées,zz.do not use
Androsace-type,zz.do not use
Anemone,zz.do not use
ANEMONE,zz.do not use
anemone,zz.do not use
Anemone coronaria,zz.do not use
Anemone hortensis-type,zz.do not use
Anemone nem gr,zz.do not use
Anemone nemorosa,zz.do not use
Anemone nemorosa group,zz.do not use
Anemone nemorosa rå,zz.do not use
Anemone nemorosa -t./Hepatica nobilis,zz.do not use
Anemone nemorosa type,zz.do not use
Anemone nemorosa/ranunculoides,zz.do not use
Anemone nemorosa-group,zz.do not use
Anemone nemorosa-typ - vitsippa,zz.do not use
Anemone nemorosa-type,zz.do not use
Anemone nemorosa-type,zz.do not use
Anemone nemorosa-type/Hepatica nobilis,zz.do not use
Anemone nemososa,zz.do not use
Anemone sect. Pulsatilla,zz.do not use
ANEMONE SPP,zz.do not use
Anemone T,zz.do not use
ANEMONE T,zz.do not use
Anemone t.,zz.do not use
Anemone Typ,zz.do not use
Anemone type,zz.do not use
ANEMONE TYPE,zz.do not use
Anemone -type,zz.do not use
Anemone_ne,zz.do not use
ANEMONE_T,zz.do not use
Anemone_ty,zz.do not use
Anemone-Typ,zz.do not use
Anemone-typ rå,zz.do not use
Anemone-type,zz.do not use
Anemone-type ,zz.do not use
Anemone-type ,zz.do not use
AnemonNe,zz.do not use
ANETHUM GRAVEOLENS,zz.do not use
Angelica archangelica,zz.do not use
Angelica palustr. T.,zz.do not use
Angelica palustris,zz.do not use
Angelica palustris,zz.do not use
Angelica silvestris-typ - strätta,zz.do not use
Angelica sylvestris,zz.do not use
Angelica sylvestris-type,zz.do not use
Angelica -t.,zz.do not use
Angelica type,zz.do not use
angelica type,zz.do not use
ANGELICA TYPE,zz.do not use
Angelica-type,zz.do not use
Anisosciadium,zz.do not use
Anisosciadium type,zz.do not use
Anogramma leptophylla,zz.do not use
Anogramma leptophylla,zz.do not use
Antal \iLycopodium\i-sporer per tablett,zz.do not use
Antal \iLycopodium\i-tabletter,zz.do not use
Antal pollentyper,zz.do not use
Antal räknade \iLycopodium\i-sporer,zz.do not use
ANTENNARIA T,zz.do not use
Antennaria-type,zz.do not use
Antequaternaire,zz.do not use
Ante-Quaternaire,zz.do not use
ANTHEM_TYP,zz.do not use
Anthemideae,zz.do not use
Anthemis,zz.do not use
Anthemis  ,zz.do not use
Anthemis arvensis,zz.do not use
ANTHEMIS T,zz.do not use
Anthemis T,zz.do not use
Anthemis T.,zz.do not use
Anthemis t.,zz.do not use
Anthemis -t.,zz.do not use
Anthemis type,zz.do not use
ANTHEMIS TYPE,zz.do not use
anthemis type,zz.do not use
Anthemis type,zz.do not use
Anthemis type rå,zz.do not use
Anthemis type.,zz.do not use
Anthemis_t,zz.do not use
ANTHEMIS-T.,zz.do not use
Anthemis-Typ,zz.do not use
"Anthemis-typ - nysört, prästkrage m.fl.",zz.do not use
"Anthemis-typ - nysört, prästkrage mm",zz.do not use
Anthemis-typ rå,zz.do not use
Anthemis-type,zz.do not use
Anthemis-type rå,zz.do not use
Anthericum,zz.do not use
ANTHERICUM,zz.do not use
Anthericum,zz.do not use
Anthericum cf.,zz.do not use
Anthericum ramosum,zz.do not use
Anthericum T,zz.do not use
Anthericum type,zz.do not use
Anthericum-type,zz.do not use
Anthoceros,zz.do not use
ANTHOCEROS,zz.do not use
Anthoceros laevis,zz.do not use
Anthoceros laevis ,zz.do not use
Anthoceros laevis-type,zz.do not use
Anthoceros punctatus,zz.do not use
Anthoceros punctatus ,zz.do not use
Anthoceros punctatus-type,zz.do not use
Anthoceros punctatus-type,zz.do not use
Anthoceros/Phaeoceros,zz.do not use
Anthoceros/Phaeoceros,zz.do not use
Anthoceros-t,zz.do not use
Anthocerotaceae,zz.do not use
Anthocerotales,zz.do not use
Anthoxanthum,Poaceae
Anthriscus,zz.do not use
ANTHRISCUS CAUC,zz.do not use
Anthriscus caucalis,zz.do not use
ANTHRISCUS CEREF,zz.do not use
Anthriscus cerefolium,zz.do not use
Anthriscus nitida/sylvestris,zz.do not use
Anthriscus silvestris type,zz.do not use
ANTHRISCUS SILVESTRIS TYPE,zz.do not use
Anthriscus silvestris-typ - hundkex,zz.do not use
ANTHRISCUS SYLV,zz.do not use
Anthriscus sylv.                        ,zz.do not use
Anthriscus sylvestris,zz.do not use
Anthriscus sylvestris type,zz.do not use
Anthriscus sylvestris-type,zz.do not use
Anthriscus sylvestris-type,zz.do not use
Anthriscus t.                 ,zz.do not use
Anthriscus type,zz.do not use
ANTHRISCUS TYPE,zz.do not use
ANTHRISCUS-T.,zz.do not use
Anthriscus-type,zz.do not use
ANTHROPOCHORES,zz.do not use
AnthrSyl,zz.do not use
Anthyllis,zz.do not use
Anthyllis,zz.do not use
Anthyllis type,zz.do not use
Anthyllis vuln.,zz.do not use
anthyllis vulneraria,zz.do not use
Anthyrium filix femina,zz.do not use
Antirrhinum/Linaria,zz.do not use
AP,zz.do not use
AP,zz.do not use
Apeacea,zz.do not use
Aphanes,zz.do not use
Aphanes arvensis,zz.do not use
Aphanes-type,zz.do not use
Apiac,zz.do not use
Apiaceae,zz.do not use
APIACEAE,zz.do not use
apiaceae,zz.do not use
Apiaceae,zz.do not use
APIACEAE,zz.do not use
Apiaceae ,zz.do not use
Apiaceae  ,zz.do not use
Apiaceae   ,zz.do not use
Apiaceae (flockblomstriga växter),zz.do not use
Apiaceae cf. Apium inundatum,zz.do not use
Apiaceae cf. Apium inundatum - krypfloka,zz.do not use
Apiaceae cf. Berula erecta,zz.do not use
Apiaceae cf. Heracleum spondylium,zz.do not use
Apiaceae cf. Heracleum spondylium - björnloka,zz.do not use
Apiaceae cf. Pimpinella major type,zz.do not use
Apiaceae cf. Pimpinella major-typ - bockrot,zz.do not use
Apiaceae cf. Pleurospermum - piploka,zz.do not use
Apiaceae indet.,zz.do not use
Apiaceae ospec. - obest. flockblomstriga växter,zz.do not use
Apiaceae p.p.,zz.do not use
Apiaceae Peucedanum t. ,zz.do not use
Apiaceae rå,zz.do not use
Apiaceae type II. - unspec. carrot family,zz.do not use
Apiaceae und,zz.do not use
Apiaceae undif.,zz.do not use
Apiaceae undiff.,zz.do not use
APIACEAE UNDIFF.,zz.do not use
Apiaceae undiff.,zz.do not use
Apiaceae undiff. rå,zz.do not use
Apiaceae undifferentiated,zz.do not use
Apiaceae ,zz.do not use
Apium,zz.do not use
Apium,zz.do not use
APIUM,zz.do not use
Apium inund.                            ,zz.do not use
APIUM INUNDATUM,zz.do not use
Apium inundatum type,zz.do not use
APIUM INUNDATUM TYPE,zz.do not use
Apium inundatum-type,zz.do not use
Apium nodiflorum,zz.do not use
Apium nodiflorum,zz.do not use
Apium type,zz.do not use
APIUM TYPE,zz.do not use
Apium type,zz.do not use
Apium-type,zz.do not use
Apium-type,zz.do not use
APOPHYTES,zz.do not use
APOPHYTES AND ANTHROPOCHORES,zz.do not use
aq,zz.do not use
Aq.+PS,zz.do not use
AQUATIC,zz.do not use
AQUATIC MACROPHYTES,zz.do not use
AQUATIC PLANTS,zz.do not use
Aquatic vascular plants,zz.do not use
Aquatica,zz.do not use
Aquatics,zz.do not use
aquatics,zz.do not use
aquatics sum,zz.do not use
Aquatiqs,zz.do not use
Aquatiqs sum,zz.do not use
Aquilegia,zz.do not use
Aquilegia type,zz.do not use
Aquilegia-Typ,zz.do not use
Aquilegia-type,zz.do not use
AQUQTIC,zz.do not use
Araceae,zz.do not use
Araceae,zz.do not use
Araliaceae undifferentiated,zz.do not use
Arbutus,Ericaceae
arbutus,Ericaceae
Arbutus,Ericaceae
ARBUTUS,Ericaceae
Arbutus unedo,Ericaceae
Arbutus unedo,Ericaceae
Arcella,zz.do not use
Arcella,zz.do not use
Arcella artocrea,zz.do not use
Arcella discoides,zz.do not use
Arcella rotundata,zz.do not use
Arcella stellaris,zz.do not use
Arceuthobium,zz.do not use
Arceuthobium,zz.do not use
Arceuthobium oxycedri,zz.do not use
Archillea type,zz.do not use
Arctium,zz.do not use
ARCTIUM,zz.do not use
Arctium lappa,zz.do not use
Arctium/Jurinea,zz.do not use
Arctium-type,zz.do not use
Arctosta,zz.do not use
Arctosta_1,zz.do not use
Arctosta_2,zz.do not use
Arctostaph,zz.do not use
Arctostaphyllos,zz.do not use
Arctostaphyllos uva-ursi,zz.do not use
Arctostaphylos,zz.do not use
Arctostaphylos,zz.do not use
Arctostaphylos alpina,zz.do not use
Arctostaphylos alpinus,zz.do not use
Arctostaphylos uva-ursi,zz.do not use
ARCTOSTAPHYLOS UVA-URSI,zz.do not use
Arctostaphylos uva-ursi - mjölon,zz.do not use
Arctostaphylos ,zz.do not use
Arenaria,zz.do not use
Arenaria,zz.do not use
Arenaria biflora,zz.do not use
Arenaria serpyllifolia-type,zz.do not use
Arenaria -t.,zz.do not use
arenaria type,zz.do not use
Arenaria-type,zz.do not use
Aristolochia,zz.do not use
Aristolochia,zz.do not use
Aristolochia clematitis,zz.do not use
Armeria,zz.do not use
armeria,zz.do not use
ARMERIA,zz.do not use
Armeria,zz.do not use
ARMERIA,zz.do not use
Armeria ,zz.do not use
Armeria maritima,zz.do not use
ARMERIA MARITIMA,zz.do not use
Armeria maritima (type B),zz.do not use
Armeria maritima Subsp. elongata,zz.do not use
Armeria maritima t.A,zz.do not use
Armeria maritima type A,zz.do not use
Armeria maritima type B,zz.do not use
Armeria martima type B,zz.do not use
Armeria type,zz.do not use
Armeria type,zz.do not use
ARMERIA type,zz.do not use
armeria type a,zz.do not use
armeria type b,zz.do not use
Armeria/Limonium,zz.do not use
ARMERIA/LIMONIUM,zz.do not use
Armeria/Limonium type,zz.do not use
ARMERIA_T,zz.do not use
Armeria-type,zz.do not use
Armeria-type,zz.do not use
Arnica,zz.do not use
Arnica montana,zz.do not use
Arnica-type,zz.do not use
Artemesia,Artemisia
Artemis,Artemisia
Artemisi,Artemisia
ARTEMISI,Artemisia
Artemisia,Artemisia
ARTEMISIA,Artemisia
artemisia,Artemisia
Artemisia,Artemisia
ARTEMISIA,Artemisia
Artemisia ,Artemisia
Artemisia  ,Artemisia
ARTEMISIA   ,Artemisia
Artemisia                               ,Artemisia
"Artemisia - gråbo, malört",Artemisia
Artemisia campestris,Artemisia
Artemisia cf. A. norvegica,Artemisia
Artemisia cf. A. norwegica,Artemisia
Artemisia cf. A.norvegica,Artemisia
Artemisia genipii/mutellina,Artemisia
Artemisia herba-alba type,Artemisia
Artemisia norvegica-type,Artemisia
Artemisia rå,Artemisia
Artemisia T.,Artemisia
Artemisia type,Artemisia
Artemisia undiff.,Artemisia
Artemisia vulgaris,Artemisia
Artemisia vulgaris T,Artemisia
Artemisia vulgaris type,Artemisia
ARTEMISIA VULGARIS TYPE,Artemisia
Artemisia vulgaris-type,Artemisia
Artemisia ,Artemisia
Artemisia-type,Artemisia
Artemisia-type                          ,Artemisia
Artemisisa,Artemisia
ARUM,zz.do not use
Arum,zz.do not use
Arum,zz.do not use
Arum/Acorus,zz.do not use
Aruncus,zz.do not use
Aruncus dioicus,zz.do not use
Aruncus dioicus=Aruncus sylvestris,zz.do not use
Aruncus type,zz.do not use
Aruncus-Typ,zz.do not use
Aruncus-type,zz.do not use
Asarum europaeum,zz.do not use
Ascomycetes,zz.do not use
Ashball,zz.do not use
Ashballs,zz.do not use
asju seal sees,zz.do not use
ASPARAGUS,zz.do not use
Asparagus,zz.do not use
Asparagus acutifolius,zz.do not use
Asparagus type,zz.do not use
Asparagus type,zz.do not use
Asperula,zz.do not use
Asphodeline,zz.do not use
Asphodeline,zz.do not use
Asphodelus,zz.do not use
Asphodelus,zz.do not use
ASPHODELUS,zz.do not use
Asphodelus albus type,zz.do not use
Asphodelus albus-type,zz.do not use
ASPHODELUS CERASIFERUS type,zz.do not use
Asphodelus fistulosus,zz.do not use
Asphodelus fistulosus-type,zz.do not use
Asphodelus/Asphodeline,zz.do not use
Asphodelus-type,zz.do not use
ASPLEN_TYP,zz.do not use
Asplenium,zz.do not use
ASPLENIUM,zz.do not use
Asplenium,zz.do not use
Asplenium nidus,zz.do not use
Asplenium type,zz.do not use
Asplenium type,zz.do not use
ASPLENIUM type,zz.do not use
Asplenium-t,zz.do not use
Asplenium-type,zz.do not use
Asplenium-type,zz.do not use
ASSUL_MUS,zz.do not use
ASSUL_MUSE,zz.do not use
ASSUL_SEM,zz.do not use
Assulina,zz.do not use
Assulina,zz.do not use
Assulina muscorum,zz.do not use
Assulina muscorum,zz.do not use
Assulina seminulum,zz.do not use
Ast Lig,zz.do not use
Ast Tub,zz.do not use
Astagalus,zz.do not use
Aster,zz.do not use
Aster ,zz.do not use
Aster Aster,zz.do not use
Aster bellidiastrum,zz.do not use
Aster T,zz.do not use
Aster T.,zz.do not use
Aster t.,zz.do not use
Aster type,zz.do not use
ASTER TYPE,zz.do not use
aster type,zz.do not use
Aster type,zz.do not use
Aster type cf Bidens,zz.do not use
Aster type rå,zz.do not use
Aster. Sect. Aster.,zz.do not use
Aster. Sect. Cichor.,zz.do not use
Aster/Achillea,zz.do not use
Aster/Achillea type,zz.do not use
Aster/type,zz.do not use
Aster_type,zz.do not use
ASTER_TYPE,zz.do not use
Asterac,zz.do not use
Asterace,zz.do not use
Asterace_1,zz.do not use
Asterace_2,zz.do not use
Asterace_3,zz.do not use
Asterace_4,zz.do not use
Asteraceae,zz.do not use
ASTERACEAE,zz.do not use
asteraceae,zz.do not use
Asteraceae,zz.do not use
ASTERACEAE,zz.do not use
ASTERACEAE ,zz.do not use
Asteraceae ,zz.do not use
Asteraceae  ,zz.do not use
Asteraceae   ,zz.do not use
Asteraceae (Asteroideae),zz.do not use
Asteraceae (Lactuceae),zz.do not use
Asteraceae (Liguliflorae),zz.do not use
Asteraceae (Tubuliflorae),zz.do not use
Asteraceae aster.,zz.do not use
ASTERACEAE ASTEROIDAE,zz.do not use
Asteraceae asteroideae,zz.do not use
ASTERACEAE CICHORIOIDAE,zz.do not use
ASTERACEAE CICHORIOIDEAE,zz.do not use
Asteraceae cichorioideae,zz.do not use
Asteraceae HS,zz.do not use
asteraceae lig,zz.do not use
Asteraceae Ligulaflorae,zz.do not use
Asteraceae Liguliflorae,zz.do not use
Asteraceae liguliflorae,zz.do not use
Asteraceae liguliflorae,zz.do not use
"Asteraceae Liguliflorae (maskrosor, fibblor m. fl.)",zz.do not use
Asteraceae Liguliflorae rå,zz.do not use
Asteraceae liguliflorae-type,zz.do not use
Asteraceae p.p.,zz.do not use
Asteraceae rå,zz.do not use
Asteraceae sect. Aster.,zz.do not use
Asteraceae sect. Cichor.,zz.do not use
Asteraceae sect. cichor.,zz.do not use
asteraceae subf asteroideae undiff,zz.do not use
asteraceae subf cichorioideae,zz.do not use
Asteraceae subf. Asteroideae,zz.do not use
Asteraceae subf. Asteroideae,zz.do not use
Asteraceae subf. Asteroideae undiff.,zz.do not use
Asteraceae subf. Carduoideae,zz.do not use
Asteraceae subf. Carduoideae,zz.do not use
Asteraceae subf. Cichorioideae,zz.do not use
Asteraceae subf. Cichorioideae,zz.do not use
Asteraceae subfam. Asteroidae,zz.do not use
Asteraceae subfam. Asteroideae,zz.do not use
Asteraceae subfam. Chicoroidae,zz.do not use
Asteraceae subfam. Cichorioideae,zz.do not use
Asteraceae tubiliflorae,zz.do not use
ASTERACEAE TUBU.,zz.do not use
Asteraceae Tubuliflorae,zz.do not use
Asteraceae tubuliflorae,zz.do not use
Asteraceae Tubuliflorae (korgblommiga växter),zz.do not use
Asteraceae Tubuliflorae rå,zz.do not use
Asteraceae tubuliflorae-type,zz.do not use
Asteraceae undiff,zz.do not use
Asteraceae undiff (broken),zz.do not use
Asteraceae undiff (crumpled),zz.do not use
Asteraceae undiff.,zz.do not use
ASTERACEAE UNDIFF.,zz.do not use
Asteraceae undiff.,zz.do not use
Asteraceae undiff. ,zz.do not use
Asteraceae undiff. rå,zz.do not use
Asteraceae undiff. Rå,zz.do not use
"Asteraceae,  Cichorioideae",zz.do not use
ASTERIODIA,zz.do not use
Asterioideae ospec.,zz.do not use
ASTERIOIDEAE UNDIFF.,zz.do not use
Asteroidea,zz.do not use
Asteroideae,zz.do not use
Asteroideae,zz.do not use
ASTEROIDEAE,zz.do not use
Asteroideae Centaurea 43 mm,zz.do not use
Asteroideae cf. Bellis,zz.do not use
Asteroideae cf. Cirsium ,zz.do not use
Asteroideae cf. Saussurea. ,zz.do not use
Asteroideae cf. Senecio. ,zz.do not use
Asteroideae cf. Taraxacum ,zz.do not use
